category,source,avg_price,median_price,min_price,max_price,avg_rating,median_rating,min_rating,max_rating,avg_review_count,median_review_count,min_review_count,max_review_count,count
gadgets,amazon,27.413474903474903,19.53,4.97,249.0,4.476,4.5,2.9,5.0,14106.023166023166,2780.0,0,855889,259
gadgets,microcenter,25.98966666666667,19.99,3.99,189.99,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,240
gpus,amazon,205.8678911564626,60.0,3.49,1679.99,4.262025316455696,4.4,1.0,5.0,927.1836734693877,2.0,0,54100,147
gpus,microcenter,812.5342083333333,567.49,38.39,3719.99,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,240
laptops,amazon,488.9716447368421,364.995,27.99,3399.0,4.353289473684211,4.3,3.0,5.0,390.3486842105263,53.5,1,10671,152
laptops,microcenter,1024.9092063492064,849.99,209.99,2399.99,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,63
monitors,amazon,97.65430555555555,77.49,2.99,999.99,4.331884057971014,4.4,3.2,5.0,4624.256944444444,539.0,0,37626,144
monitors,microcenter,481.5525,299.99,69.99,2699.99,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,128
ram,amazon,133.5145,74.49,3.79,4268.0,4.531404958677686,4.6,3.0,5.0,3773.34375,45.0,0,90096,160
ram,microcenter,183.75576576576577,154.99,34.99,519.99,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,111
